TenureGroup,CityTier,用户数,流失人数,平均订单数,流失率,样本提示
0-12个月,2,140,48,1.9142857142857144,0.34285714285714286,可观察
0-12个月,3,1152,322,2.693576388888889,0.2795138888888889,可观察
0-12个月,1,2260,476,2.5265486725663715,0.21061946902654868,可观察
12-24个月,3,443,46,3.9006772009029347,0.1038374717832957,可观察
12-24个月,1,1053,56,3.5688509021842356,0.05318138651471985,可观察
12-24个月,2,78,0,3.217948717948718,0.0,可观察
24个月以上,1,353,0,3.365439093484419,0.0,可观察
24个月以上,2,24,0,4.333333333333333,0.0,小样本
24个月以上,3,127,0,4.448818897637795,0.0,可观察
