TenureGroup,用户数,平均订单数,平均返现金额,平均满意度,流失率
0-12个月,3552,2.5565878378378377,159.9877224099099,3.067849099099099,0.23817567567567569
12-24个月,1574,3.644853875476493,200.7232528589581,3.0616264294790345,0.06480304955527319
24个月以上,504,3.6845238095238093,225.29934523809524,3.0753968253968256,0.0
