字段,Q1,Q3,IQR,下限,上限,候选异常值数量
Tenure,3.0,15.0,12.0,-15.0,33.0,4
WarehouseToHome,9.0,20.0,11.0,-7.5,36.5,2
HourSpendOnApp,2.0,3.0,1.0,0.5,4.5,6
OrderAmountHikeFromlastYear,13.0,18.0,5.0,5.5,25.5,33
CouponUsed,1.0,2.0,1.0,-0.5,3.5,629
OrderCount,1.0,3.0,2.0,-2.0,6.0,703
DaySinceLastOrder,2.0,7.0,5.0,-5.5,14.5,62
